ccode,idacr,leader,id,numexit,DICT2,DICT,starttime,shocktime,tenure,political.affiliation,eventtime,event,ugovt,rtpast,DICT3,shocktimet,poleff2,Z
367,LAT,Skele,198,1,democracy,0,0,3,3,Notfullhouse,3,0,Notfullhouse,,democracy,0,ins_all,1
367,LAT,Krasts,199,1,democracy,0,0,2,2,Notfullhouse,2,0,Notfullhouse,,democracy,0,ins_all,1
367,LAT,Kristopans,200,1,democracy,0,0,2,2,Notfullhouse,2,0,Notfullhouse,,democracy,0,ins_all,1
367,LAT,Skele,201,1,democracy,0,0,2,2,Notfullhouse,2,0,Notfullhouse,,democracy,0,ins_all,1
367,LAT,Berzins,202,1,democracy,0,0,3,3,Notfullhouse,3,0,Notfullhouse,,democracy,0,ins_t_s,1
367,LAT,Repse,203,1,democracy,0,0,3,3,Notfullhouse,3,0,Notfullhouse,,democracy,0,s_all,0
367,LAT,Indulis Emsis,204,1,democracy,0,0,1,1,Notfullhouse,1,0,Notfullhouse,,democracy,0,s_all,0
367,LAT,Aigars Kalvitis,205,1,democracy,0,0,4,4,Notfullhouse,4,0,Notfullhouse,,democracy,0,s_all,0
367,LAT,Godmanis,206,1,democracy,0,0,3,3,Notfullhouse,3,0,Notfullhouse,,democracy,0,s_all,0
367,LAT,Dombrovskis,207,1,democracy,0,0,6,6,Notfullhouse,6,0,Notfullhouse,,democracy,0,s_all,0
367,LAT,Lamdota Straujuma,208,-888,democracy,0,0,1,1,Notfullhouse,1,0,Notfullhouse,,democracy,0,s_all,0
660,LEB,Emile Lahoud,210,1,democracy,0,7,10,10,Notfullhouse,3,0,Notfullhouse,,democracy,0,ins_all,1
660,LEB,Siniora,211,3,democracy,0,0,2,2,Notfullhouse,2,0,Notfullhouse,,democracy,0,ins_all,1
660,LEB,Suleiman,212,1,democracy,0,0,7,7,Notfullhouse,7,0,Notfullhouse,,democracy,0,ins_all,1
660,LEB,Salam,213,-888,democracy,0,0,2,2,Notfullhouse,2,0,Notfullhouse,,democracy,0,ins_all,1
570,LES,Mokhehle,214,1,democracy,0,0,5,5,Notfullhouse,5,0,Notfullhouse,,democracy,0,ins_all,1
570,LES,Mosisili,215,1,democracy,0,0,15,15,Notfullhouse,8,1,Notfullhouse,,democracy,1,ins_all,1
570,LES,Thabane,216,1,democracy,0,0,4,4,fullhouse,4,0,fullhouse,,democracy,0,ins_all,1
570,LES,Pakalitha Mosisili,217,-888,democracy,0,0,1,1,fullhouse,1,0,fullhouse,,democracy,0,ins_all,1
368,LIT,Brazauskas,218,1,democracy,0,3,7,7,fullhouse,4,0,fullhouse,,democracy,0,ins_all,1
368,LIT,Adamkus,219,1,democracy,0,0,6,6,Notfullhouse,6,0,Notfullhouse,,democracy,0,ins_t_s,1
368,LIT,Paksas,220,1,democracy,0,0,2,2,Notfullhouse,2,0,Notfullhouse,,democracy,0,shockt,1
368,LIT,Paulauskas,221,1,democracy,0,0,1,1,Notfullhouse,1,0,Notfullhouse,,democracy,0,ins_all,1
368,LIT,Adamkus,222,1,democracy,0,0,6,6,Notfullhouse,6,0,Notfullhouse,,democracy,0,ins_all,1
368,LIT,Grybauskaite,223,-888,democracy,0,0,7,7,Notfullhouse,7,0,Notfullhouse,,democracy,0,ins_all,1
343,MAC,Crvenkovski,224,1,democracy,0,3,7,7,fullhouse,4,0,fullhouse,,democracy,0,ins_all,1
343,MAC,Georgievski,225,1,democracy,0,0,5,5,Notfullhouse,3,1,Notfullhouse,,democracy,1,ins_t_s,1
343,MAC,Crvenkovski,226,1,democracy,0,0,3,3,Notfullhouse,3,0,Notfullhouse,,democracy,0,ins_all,1
343,MAC,Radmila Sekerinska,227,1,democracy,0,0,1,1,fullhouse,1,0,fullhouse,,democracy,0,ins_all,1
343,MAC,Hari Kostov,228,1,democracy,0,0,1,1,fullhouse,1,0,fullhouse,,democracy,0,ins_all,1
343,MAC,Radmila Sekerinska,229,1,democracy,0,0,1,1,fullhouse,1,0,fullhouse,,democracy,0,ins_all,1
343,MAC,Vlado Buckovski,230,1,democracy,0,0,3,3,fullhouse,3,0,fullhouse,,democracy,0,ins_all,1
343,MAC,Gruevski,231,-888,democracy,0,0,10,10,Notfullhouse,10,0,Notfullhouse,,democracy,0,ins_t_s,1
70,MEX,Vicente Fox Quesada,236,1,democratized,2,0,7,7,Notfullhouse,1,1,Notfullhouse,,democracy,1,ins_all,1
70,MEX,Calderon,237,1,democracy,0,0,7,7,Notfullhouse,7,0,Notfullhouse,,democracy,0,s_all,0
70,MEX,Enrique Pena Nieto,238,-888,democracy,0,0,4,4,fullhouse,4,0,fullhouse,,democracy,0,s_all,0
359,MLD,Snegur,239,1,democracy,0,5,8,8,fullhouse,3,0,fullhouse,,democracy,0,ins_all,1
359,MLD,Lucinschi,240,1,democracy,0,0,5,5,Notfullhouse,5,0,Notfullhouse,,democracy,0,ins_t_s,1
359,MLD,Tarlev,241,1,democracy,0,0,7,8,fullhouse,7,0,fullhouse,,democracy,0,shockt,1
359,MLD,Greceanii,242,1,democracy,0,0,2,2,fullhouse,2,0,fullhouse,,democracy,0,ins_all,1
359,MLD,Pirlog,243,1,democracy,0,0,1,1,fullhouse,1,0,fullhouse,,democracy,0,ins_all,1
359,MLD,Vlad Filat,244,1,democracy,0,0,5,5,Notfullhouse,5,0,Notfullhouse,,democracy,0,ins_all,1
359,MLD,Iurie Leanca,245,1,democracy,0,0,3,3,Notfullhouse,2,1,Notfullhouse,,democracy,1,ins_all,1
359,MLD,Chiril Gaburici,246,1,democracy,0,0,1,1,Notfullhouse,1,0,Notfullhouse,,democracy,0,ins_all,1
359,MLD,Natalia Gherman,247,1,democracy,0,0,1,1,Notfullhouse,1,0,Notfullhouse,,democracy,0,ins_all,1
359,MLD,Valeriu Strelet,248,1,democracy,0,0,1,1,Notfullhouse,1,0,Notfullhouse,,democracy,0,ins_all,1
712,MON,Bagabandi,250,1,democracy,0,0,9,9,Notfullhouse,9,0,Notfullhouse,,democracy,0,ins_t_s,1
712,MON,Enkhbayar,251,1,democracy,0,0,5,5,Notfullhouse,5,0,Notfullhouse,,democracy,0,s_all,0
