"","ccode","idacr","leader","id","numentry","numexit","numexitcode","DICT","starttime","shocktime","tenure","political.affiliation","eventtime","event","ugovt","rtpast","DICT3","shock","polaffi2","Z"
"177",359,"MLD","Tarlev",241,0,1,0,0,0,7,8,"fullhouse",7,0,"fullhouse",NA,"democracy",0,"shockt","1"
"178",359,"MLD","Greceanii",242,0,1,0,0,0,2,2,"fullhouse",2,0,"fullhouse",NA,"democracy",0,"ins_all","1"
"180",359,"MLD","Vlad Filat",244,0,1,0,0,0,5,5,"Notfullhouse",5,0,"Notfullhouse",NA,"democracy",0,"ins_all","1"
"181",359,"MLD","Iurie Leanca",245,0,1,0,0,0,3,3,"Notfullhouse",2,1,"Notfullhouse",NA,"democracy",1,"ins_all","1"
"185",712,"MON","Bagabandi",250,0,1,0,0,0,9,9,"Notfullhouse",9,0,"Notfullhouse",NA,"democracy",0,"ins_t_s","1"
"186",712,"MON","Enkhbayar",251,0,1,0,0,0,5,5,"Notfullhouse",5,0,"Notfullhouse",NA,"democracy",0,"s_all","0"
"187",712,"MON","Elbegdorj",252,0,-888,-888,0,0,7,7,"Notfullhouse",7,1,"Notfullhouse",NA,"democracy",1,"s_all","0"
"189",790,"NEP","Sher Bahadur Deuba",259,0,1,0,0,0,3,3,"Notfullhouse",3,0,"Notfullhouse",NA,"democracy",0,"ins_all","1"
"191",790,"NEP","Surya  Bahadur Thapa",261,0,1,0,0,0,2,2,"Notfullhouse",2,0,"Notfullhouse",NA,"democracy",0,"ins_all","1"
"192",790,"NEP","Girija Prasad Koirala",262,0,1,0,0,0,2,2,"fullhouse",2,0,"fullhouse",NA,"democracy",0,"ins_all","1"
"193",790,"NEP","Krishna Prasad Bhatterai",263,0,1,0,0,0,2,2,"fullhouse",2,0,"fullhouse",NA,"democracy",0,"ins_all","1"
"194",790,"NEP","Girija Prasad Koirala",264,0,1,0,0,0,3,3,"fullhouse",1,1,"fullhouse",NA,"democracy",1,"ins_all","1"
"195",790,"NEP","Prachanda",271,0,1,0,0,0,2,2,"Notfullhouse",2,0,"Notfullhouse",NA,"democracy",0,"ins_all","1"
"196",790,"NEP","Madhav Kumar Nepal",272,0,1,0,0,0,3,3,"Notfullhouse",3,0,"Notfullhouse",NA,"democracy",0,"ins_all","1"
"198",790,"NEP","Bhattarai",274,0,1,0,0,0,3,3,"Notfullhouse",3,0,"Notfullhouse",NA,"democracy",0,"ins_all","1"
"199",790,"NEP","Khil Raj Regmi",275,0,1,0,0,0,2,2,"Notfullhouse",2,0,"Notfullhouse",NA,"democracy",0,"ins_all","1"
"200",790,"NEP","Sushil Koirala",276,0,1,0,0,0,2,2,"Notfullhouse",2,0,"Notfullhouse",NA,"democracy",0,"ins_all","1"
"202",93,"NIC","Violeta Chamorro",278,0,1,0,2,5,8,8,"Notfullhouse",3,0,"Notfullhouse",NA,"democracy",0,"ins_all","1"
"203",93,"NIC","Aleman",279,0,1,0,0,0,6,6,"Notfullhouse",6,0,"Notfullhouse",NA,"democracy",0,"ins_t_s","1"
"204",93,"NIC","Enrique Bolanos",280,0,1,0,0,0,6,6,"fullhouse",3,1,"fullhouse",NA,"democracy",1,"s_all","0"
"205",93,"NIC","Daniel Ortega",281,0,-888,-888,0,0,9,9,"fullhouse",6,1,"fullhouse",NA,"democracy",1,"shockt","1"
"206",95,"PAN","Balladares",283,0,1,0,0,1,6,6,"Notfullhouse",5,0,"Notfullhouse",NA,"democracy",0,"ins_all","1"
"207",95,"PAN","Mireya Moscoso",284,0,1,0,0,0,6,6,"Dopposition",2,1,"Dopposition",NA,"democracy",1,"ins_all","1"
"209",95,"PAN","Martinelli",286,0,1,0,0,0,10,10,"Notfullhouse",8,1,"Notfullhouse",NA,"democracy",1,"ins_t_s","1"
"210",95,"PAN","Varela Rodriguez",287,0,-888,-888,0,0,2,2,"Notfullhouse",1,1,"Notfullhouse",NA,"democracy",1,"s_all","0"
"211",150,"PAR","Fernando Lugo",293,0,1,0,2,0,5,5,"Notfullhouse",5,0,"Notfullhouse",NA,"democracy",0,"ins_all","1"
"212",150,"PAR","Federico Franco",294,0,1,0,0,0,2,2,"Notfullhouse",2,0,"Notfullhouse",NA,"democracy",0,"ins_all","1"
"213",150,"PAR","Horacio Cartes",295,0,-888,-888,0,0,3,3,"fullhouse",3,0,"fullhouse",NA,"democracy",0,"ins_all","1"
"214",135,"PER","Alejandro Toledo",298,0,1,0,2,1,6,6,"Notfullhouse",3,1,"Notfullhouse",NA,"democracy",1,"ins_all","1"
